Index,# of Rectangles,Sum,Betti 0,Betti 1
0,0,0,0,0
1,1,1,1,0
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,2,1,1,0
6,1,1,1,0
7,1,1,1,0
8,1,1,1,0
9,1,1,1,0
10,2,2,2,0
11,2,1,1,0
12,2,2,2,0
13,2,2,2,0
14,2,2,2,0
15,2,1,1,0
16,1,1,1,0
17,2,2,2,0
18,1,1,1,0
19,2,1,1,0
20,2,2,2,0
21,3,2,2,0
22,2,1,1,0
23,2,1,1,0
24,1,1,1,0
25,2,1,1,0
26,2,1,1,0
27,1,1,1,0
28,2,2,2,0
29,3,1,1,0
30,2,1,1,0
31,2,1,1,0
32,1,1,1,0
33,2,2,2,0
34,2,2,2,0
35,2,2,2,0
36,1,1,1,0
37,2,1,1,0
38,2,1,1,0
39,2,1,1,0
40,2,1,1,0
41,2,1,1,0
42,3,2,2,0
43,3,1,1,0
44,2,1,1,0
45,2,1,1,0
46,3,1,1,0
47,3,1,1,0
48,1,1,1,0
49,2,2,2,0
50,2,1,1,0
51,2,1,1,0
52,2,1,1,0
53,3,1,1,0
54,1,1,1,0
55,2,1,1,0
56,1,1,1,0
57,2,1,1,0
58,2,1,1,0
59,2,1,1,0
60,2,1,1,0
61,3,1,1,0
62,2,1,1,0
63,1,1,1,0
64,1,1,1,0
65,2,1,1,0
66,2,2,2,0
67,2,1,1,0
68,2,2,2,0
69,3,1,1,0
70,2,2,2,0
71,2,1,1,0
72,1,1,1,0
73,1,1,1,0
74,2,2,2,0
75,2,1,1,0
76,2,2,2,0
77,2,1,1,0
78,2,2,2,0
79,2,1,1,0
80,2,2,2,0
81,3,2,2,0
82,2,2,2,0
83,3,1,1,0
84,3,3,3,0
85,4,2,2,0
86,3,2,2,0
87,3,1,1,0
88,2,1,1,0
89,2,1,1,0
90,2,1,1,0
91,2,1,1,0
92,3,2,2,0
93,3,1,1,0
94,3,1,1,0
95,3,1,1,0
96,2,2,2,0
97,3,2,2,0
98,3,3,3,0
99,3,2,2,0
100,2,2,2,0
101,3,1,1,0
102,3,2,2,0
103,3,1,1,0
104,2,1,1,0
105,2,1,1,0
106,3,2,2,0
107,3,1,1,0
108,2,1,1,0
109,2,1,1,0
110,3,1,1,0
111,3,1,1,0
112,2,2,2,0
113,3,2,2,0
114,3,2,2,0
115,3,1,1,0
116,3,2,2,0
117,4,1,1,0
118,2,2,2,0
119,3,1,1,0
120,2,1,1,0
121,2,1,1,0
122,3,1,1,0
123,3,1,1,0
124,3,1,1,0
125,3,1,1,0
126,2,1,1,0
127,2,1,1,0
128,1,1,1,0
129,2,2,2,0
130,2,1,1,0
131,2,1,1,0
132,2,2,2,0
133,3,2,2,0
134,2,1,1,0
135,2,1,1,0
136,2,2,2,0
137,2,2,2,0
138,3,2,2,0
139,3,2,2,0
140,3,3,3,0
141,3,2,2,0
142,3,2,2,0
143,3,1,1,0
144,1,1,1,0
145,2,2,2,0
146,1,1,1,0
147,2,1,1,0
148,2,2,2,0
149,3,2,2,0
150,2,1,1,0
151,2,1,1,0
152,2,1,1,0
153,2,1,1,0
154,2,1,1,0
155,2,1,1,0
156,3,2,2,0
157,3,1,1,0
158,3,1,1,0
159,3,1,1,0
160,2,2,2,0
161,3,3,3,0
162,3,2,2,0
163,3,2,2,0
164,2,2,2,0
165,3,2,2,0
166,3,1,1,0
167,3,1,1,0
168,3,2,2,0
169,3,2,2,0
170,4,2,2,0
171,4,1,1,0
172,3,2,2,0
173,3,2,2,0
174,4,1,1,0
175,4,1,1,0
176,2,1,1,0
177,3,2,2,0
178,2,1,1,0
179,3,1,1,0
180,2,1,1,0
181,3,1,1,0
182,2,1,1,0
183,3,1,1,0
184,2,1,1,0
185,3,1,1,0
186,2,1,1,0
187,3,1,1,0
188,3,1,1,0
