Index,Rectangle's combination
0,0x0
1,1x1
2,1x1
3,1x2
4,1x1
5,"1x1,1x1"
6,1x2
7,1x3
8,1x1
9,2x1
10,"1x1,1x1"
11,"2x1,1x2"
12,"1x1,1x1"
13,"2x1,1x1"
14,"1x2,1x1"
15,"1x3,2x1"
16,1x1
17,"1x1,1x1"
18,2x1
19,"2x1,1x2"
20,"1x1,1x1"
21,"1x1,1x1,1x1"
22,"2x1,1x2"
23,"1x3,2x1"
24,1x2
25,"2x1,1x2"
26,"2x1,1x2"
27,2x2
28,"1x2,1x1"
29,"2x1,1x2,1x1"
30,"1x2,1x2"
31,"2x2,1x3"
32,1x1
33,"1x1,1x1"
34,"1x1,1x1"
35,"1x2,1x1"
36,2x1
37,"2x1,1x1"
38,"2x1,1x2"
39,"1x3,2x1"
40,"1x1,1x1"
41,"2x1,1x1"
42,"1x1,1x1,1x1"
43,"2x1,1x2,1x1"
44,"2x1,1x1"
45,"2x1,2x1"
46,"2x1,1x2,1x1"
47,"1x3,2x1,2x1"
48,1x2
49,"1x2,1x1"
50,"2x1,1x2"
51,"1x2,1x2"
52,"2x1,1x2"
53,"2x1,1x2,1x1"
54,2x2
55,"2x2,1x3"
56,1x3
57,"1x3,2x1"
58,"1x3,2x1"
59,"2x2,1x3"
60,"1x3,2x1"
61,"1x3,2x1,2x1"
62,"2x2,1x3"
63,2x3
64,1x1
65,"1x1,1x1"
66,"1x1,1x1"
67,"1x2,1x1"
68,"1x1,1x1"
69,"1x1,1x1,1x1"
70,"1x2,1x1"
71,"1x3,1x1"
72,2x1
73,3x1
74,"2x1,1x1"
75,"3x1,1x2"
76,"2x1,1x1"
77,"3x1,1x1"
78,"2x1,1x2"
79,"3x1,1x3"
80,"1x1,1x1"
81,"1x1,1x1,1x1"
82,"2x1,1x1"
83,"2x1,1x2,1x1"
84,"1x1,1x1,1x1"
85,"1x1,1x1,1x1,1x1"
86,"2x1,1x2,1x1"
87,"1x3,2x1,1x1"
88,"2x1,1x2"
89,"3x1,1x2"
90,"2x1,2x1"
91,"2x2,3x1"
92,"2x1,1x2,1x1"
93,"3x1,1x2,1x1"
94,"2x1,2x1,1x2"
95,"2x2,3x1,1x3"
96,"1x1,1x1"
97,"1x1,1x1,1x1"
98,"1x1,1x1,1x1"
99,"1x2,1x1,1x1"
100,"2x1,1x1"
101,"2x1,1x1,1x1"
102,"2x1,1x2,1x1"
103,"1x3,2x1,1x1"
104,"2x1,1x1"
105,"3x1,1x1"
106,"2x1,1x1,1x1"
107,"3x1,1x2,1x1"
108,"2x1,2x1"
109,"3x1,2x1"
110,"2x1,2x1,1x2"
111,"3x1,1x3,2x1"
112,"1x2,1x1"
113,"1x2,1x1,1x1"
114,"2x1,1x2,1x1"
115,"1x2,1x2,1x1"
116,"2x1,1x2,1x1"
117,"2x1,1x2,1x1,1x1"
118,"2x2,1x1"
119,"2x2,1x3,1x1"
120,"1x3,1x1"
121,"3x1,1x3"
122,"1x3,2x1,2x1"
123,"2x2,3x1,1x3"
124,"1x3,2x1,2x1"
125,"3x1,1x3,2x1"
126,"2x2,2x1"
127,"2x3,3x1"
128,1x1
129,"1x1,1x1"
130,"1x1,1x1"
131,"1x2,1x1"
132,"1x1,1x1"
133,"1x1,1x1,1x1"
134,"1x2,1x1"
135,"1x3,1x1"
136,"1x1,1x1"
137,"2x1,1x1"
138,"1x1,1x1,1x1"
139,"2x1,1x2,1x1"
140,"1x1,1x1,1x1"
141,"2x1,1x1,1x1"
142,"1x2,1x1,1x1"
143,"1x3,2x1,1x1"
144,2x1
145,"2x1,1x1"
146,3x1
147,"3x1,1x2"
148,"2x1,1x1"
149,"2x1,1x1,1x1"
150,"3x1,1x2"
151,"3x1,1x3"
152,"2x1,1x2"
153,"2x1,2x1"
154,"3x1,1x2"
155,"2x2,3x1"
156,"2x1,1x2,1x1"
157,"2x1,2x1,1x1"
158,"3x1,1x2,1x2"
159,"2x2,3x1,1x3"
160,"1x1,1x1"
161,"1x1,1x1,1x1"
162,"1x1,1x1,1x1"
163,"1x2,1x1,1x1"
164,"2x1,1x1"
165,"2x1,1x1,1x1"
166,"2x1,1x2,1x1"
167,"1x3,2x1,1x1"
168,"1x1,1x1,1x1"
