one_dot,line,line_dot,two_dots,three_dots,two_c_line,hole,solid_tri,nothing
5,11,81,21,,90,,75,
40,15,86,42,,108,,77,
320,19,92,133,,126,,79,
,22,97,168,,153,,89,
,23,99,322,,180,,91,
,25,102,336,,252,,105,
,26,106,,,297,,109,
,30,113,,,306,,121,
,31,114,,,315,,127,
,37,116,,,441,,147,
,38,138,,,,,150,
,39,139,,,,,151,
,41,141,,,,,154,
,44,142,,,,,155,
,45,149,,,,,178,
,50,156,,,,,182,
,51,162,,,,,186,
,52,163,,,,,191,
,55,165,,,,,201,
,57,169,,,,,210,
,58,172,,,,,217,
,59,173,,,,,218,
,60,177,,,,,222,
,62,204,,,,,223,
,65,212,,,,,246,
,67,225,,,,,251,
,71,226,,,,,254,
,88,227,,,,,255,
,104,267,,,,,293,
,120,268,,,,,294,
,130,270,,,,,295,
,131,275,,,,,300,
,134,276,,,,,301,
,135,281,,,,,308,
,152,282,,,,,310,
,176,284,,,,,316,
,184,298,,,,,319,
,193,305,,,,,329,
,194,312,,,,,356,
,195,330,,,,,361,
,198,338,,,,,364,
,199,354,,,,,365,
,200,362,,,,,402,
,208,394,,,,,411,
,240,396,,,,,420,
,248,398,,,,,434,
,260,401,,,,,435,
,262,417,,,,,436,
,263,,,,,,439,
,296,,,,,,440,
,304,,,,,,443,
,328,,,,,,446,
,352,,,,,,447,
,360,,,,,,457,
,386,,,,,,466,
,387,,,,,,475,
,388,,,,,,484,
,390,,,,,,502,
,391,,,,,,505,
,400,,,,,,506,
,408,,,,,,507,
,416,,,,,,508,
,449,,,,,,510,
,450,,,,,,,
,451,,,,,,,
,452,,,,,,,
,454,,,,,,,
,455,,,,,,,
,456,,,,,,,
,464,,,,,,,
,472,,,,,,,
,480,,,,,,,
,496,,,,,,,
