"nodiff","diff1","diff2","diff3"
0,5,29,117
1,11,43,171
2,15,46,174
3,19,47,175
4,21,53,213
6,22,61,234
7,23,69,235
8,25,83,239
9,26,85,285
10,30,87,325
12,31,93,339
13,37,94,341
14,38,95,342
16,39,101,343
17,40,103,348
18,41,107,349
20,42,110,351
24,44,111,369
27,45,115,373
28,50,119,375
32,51,122,405
33,52,123,426
34,55,124,430
35,57,125,431
36,58,143,469
48,59,157,477
49,60,158,490
54,62,159,491
56,65,166,494
63,67,167,495
64,71,170,501
66,75,179,0
68,77,181,0
70,79,183,0
72,81,185,0
73,86,187,0
74,88,188,0
76,89,189,0
78,90,190,0
80,91,197,0
82,92,202,0
84,97,203,0
96,99,205,0
98,102,206,0
100,104,209,0
112,105,211,0
118,106,214,0
128,108,215,0
129,109,221,0
132,113,229,0
136,114,230,0
137,116,231,0
140,120,232,0
144,121,233,0
145,126,236,0
146,127,237,0
148,130,238,0
160,131,241,0
161,133,242,0
164,134,243,0
192,135,244,0
196,138,245,0
216,139,247,0
219,141,249,0
220,142,250,0
224,147,253,0
228,149,261,0
256,150,269,0
257,151,271,0
258,152,277,0
259,153,278,0
264,154,279,0
265,155,286,0
266,156,287,0
272,162,299,0
273,163,302,0
274,165,303,0
280,168,307,0
283,169,309,0
288,172,311,0
289,173,313,0
290,176,314,0
291,177,317,0
292,178,318,0
384,180,321,0
385,182,323,0
392,184,324,0
393,186,326,0
417,191,327,0
432,193,331,0
433,194,332,0
438,195,333,0
448,198,334,0
504,199,335,0
511,200,337,0
0,201,340,0
0,204,344,0
0,207,345,0
0,208,346,0
0,210,347,0
0,212,350,0
0,217,353,0
0,218,355,0
0,222,357,0
0,223,358,0
0,225,359,0
0,226,363,0
0,227,366,0
0,240,367,0
0,246,368,0
0,248,370,0
0,251,371,0
0,252,372,0
0,254,374,0
0,255,376,0
0,260,377,0
0,262,378,0
0,263,379,0
0,267,380,0
0,268,381,0
0,270,382,0
0,275,383,0
0,276,389,0
0,281,395,0
0,282,397,0
0,284,399,0
0,293,403,0
0,294,404,0
0,295,406,0
0,296,407,0
0,297,409,0
0,298,410,0
0,300,412,0
0,301,413,0
0,304,414,0
0,305,415,0
0,306,418,0
0,308,419,0
0,310,421,0
0,312,422,0
0,315,423,0
0,316,424,0
0,319,425,0
0,320,427,0
0,322,428,0
0,328,429,0
0,329,437,0
0,330,442,0
0,336,444,0
0,338,445,0
0,352,453,0
0,354,458,0
0,356,459,0
0,360,460,0
0,361,461,0
0,362,462,0
0,364,463,0
0,365,465,0
0,386,467,0
0,387,468,0
0,388,470,0
0,390,471,0
0,391,473,0
0,394,474,0
0,396,476,0
0,398,478,0
0,400,479,0
0,401,481,0
0,402,482,0
0,408,483,0
0,411,485,0
0,416,486,0
0,420,487,0
0,434,488,0
0,435,489,0
0,436,492,0
0,439,493,0
0,440,497,0
0,441,498,0
0,443,499,0
0,446,500,0
0,447,503,0
0,449,509,0
0,450,0,0
0,451,0,0
0,452,0,0
0,454,0,0
0,455,0,0
0,456,0,0
0,457,0,0
0,464,0,0
0,466,0,0
0,472,0,0
0,475,0,0
0,480,0,0
0,484,0,0
0,496,0,0
0,502,0,0
0,505,0,0
0,506,0,0
0,507,0,0
0,508,0,0
0,510,0,0
