one_dot,line,line_dot,two_dots,three_dots,two_c_line,hole,solid_tri,nothing
1,9,74,10,84,,,73,0
2,18,76,12,98,,,146,
3,27,78,13,140,,,219,
4,36,82,14,161,,,292,
6,54,100,17,266,,,438,
7,63,118,20,273,,,511,
8,72,137,28,,,,,
16,144,145,33,,,,,
24,216,148,34,,,,,
32,288,164,35,,,,,
48,432,220,49,,,,,
56,504,228,66,,,,,
64,,265,68,,,,,
128,,274,70,,,,,
192,,283,80,,,,,
256,,289,96,,,,,
384,,290,112,,,,,
448,,291,129,,,,,
,,393,132,,,,,
,,433,136,,,,,
,,,160,,,,,
,,,196,,,,,
,,,224,,,,,
,,,257,,,,,
,,,258,,,,,
,,,259,,,,,
,,,264,,,,,
,,,272,,,,,
,,,280,,,,,
,,,385,,,,,
,,,392,,,,,
